Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,Source,FootNote,Nature,Units,[Education level],[Reporting Type],[Sex]
"4","4.1","4.1.1","SE_MAT_PROF","Minimum proficiency in mathematics, by education level and sex (%)","446","China, Macao Special Administrative Region","2015","92.92","","Programme for International Student Assessment (OECD)","","C","PERCENT","LOWSEC","G","FEMALE"
"4","4.1","4.1.1","SE_MAT_PROF","Minimum proficiency in mathematics, by education level and sex (%)","446","China, Macao Special Administrative Region","2015","92.42559","","Programme for International Student Assessment (OECD)","","C","PERCENT","LOWSEC","G","BOTHSEX"
"4","4.1","4.1.1","SE_MAT_PROF","Minimum proficiency in mathematics, by education level and sex (%)","458","Malaysia","2015","73.45","","Trends in International Mathematics and Science Study (IEA)","","C","PERCENT","LOWSEC","G","MALE"
"4","4.1","4.1.1","SE_MAT_PROF","Minimum proficiency in mathematics, by education level and sex (%)","470","Malta","2015","70.863","","Programme for International Student Assessment (OECD)","","C","PERCENT","LOWSEC","G","BOTHSEX"
"4","4.1","4.1.1","SE_MAT_PROF","Minimum proficiency in mathematics, by education level and sex (%)","470","Malta","2015","69.3","","Programme for International Student Assessment (OECD)","","C","PERCENT","LOWSEC","G","MALE"
"4","4.1","4.1.1","SE_MAT_PROF","Minimum proficiency in mathematics, by education level and sex (%)","484","Mexico","2015","41.03","","Programme for International Student Assessment (OECD)","","C","PERCENT","LOWSEC","G","FEMALE"
"4","4.1","4.1.1","SE_MAT_PROF","Minimum proficiency in mathematics, by education level and sex (%)","498","Republic of Moldova","2015","49.14","","Programme for International Student Assessment (OECD)","","C","PERCENT","LOWSEC","G","MALE"
"4","4.1","4.1.1","SE_MAT_PROF","Minimum proficiency in mathematics, by education level and sex (%)","498","Republic of Moldova","2015","49.73857","","Programme for International Student Assessment (OECD)","","C","PERCENT","LOWSEC","G","BOTHSEX"
"4","4.1","4.1.1","SE_MAT_PROF","Minimum proficiency in mathematics, by education level and sex (%)","499","Montenegro","2015","47.88","","Programme for International Student Assessment (OECD)","","C","PERCENT","LOWSEC","G","FEMALE"
"4","4.1","4.1.1","SE_MAT_PROF","Minimum proficiency in mathematics, by education level and sex (%)","504","Morocco","2015","40.56423","","Trends in International Mathematics and Science Study (IEA)","","C","PERCENT","GRAD23","G","BOTHSEX"
"4","4.1","4.1.1","SE_MAT_PROF","Minimum proficiency in mathematics, by education level and sex (%)","504","Morocco","2015","40.83","","Trends in International Mathematics and Science Study (IEA)","","C","PERCENT","LOWSEC","G","FEMALE"
"4","4.1","4.1.1","SE_MAT_PROF","Minimum proficiency in mathematics, by education level and sex (%)","504","Morocco","2015","40.58","","Trends in International Mathematics and Science Study (IEA)","","C","PERCENT","GRAD23","G","FEMALE"
"4","4.1","4.1.1","SE_MAT_PROF","Minimum proficiency in mathematics, by education level and sex (%)","512","Oman","2015","58.96","","Trends in International Mathematics and Science Study (IEA)","","C","PERCENT","LOWSEC","G","FEMALE"
"4","4.1","4.1.1","SE_MAT_PROF","Minimum proficiency in mathematics, by education level and sex (%)","512","Oman","2015","45.67","","Trends in International Mathematics and Science Study (IEA)","","C","PERCENT","LOWSEC","G","MALE"
"4","4.1","4.1.1","SE_MAT_PROF","Minimum proficiency in mathematics, by education level and sex (%)","512","Oman","2015","56.04","","Trends in International Mathematics and Science Study (IEA)","","C","PERCENT","GRAD23","G","MALE"
"4","4.1","4.1.1","SE_MAT_PROF","Minimum proficiency in mathematics, by education level and sex (%)","528","Netherlands","2015","83.76","","Programme for International Student Assessment (OECD)","","C","PERCENT","LOWSEC","G","FEMALE"
"4","4.1","4.1.1","SE_MAT_PROF","Minimum proficiency in mathematics, by education level and sex (%)","528","Netherlands","2015","83.26803","","Programme for International Student Assessment (OECD)","","C","PERCENT","LOWSEC","G","BOTHSEX"
"4","4.1","4.1.1","SE_MAT_PROF","Minimum proficiency in mathematics, by education level and sex (%)","528","Netherlands","2015","98.83","","Trends in International Mathematics and Science Study (IEA)","","C","PERCENT","GRAD23","G","FEMALE"
"4","4.1","4.1.1","SE_MAT_PROF","Minimum proficiency in mathematics, by education level and sex (%)","554","New Zealand","2015","84.47975","","Trends in International Mathematics and Science Study (IEA)","","C","PERCENT","GRAD23","G","BOTHSEX"
"4","4.1","4.1.1","SE_MAT_PROF","Minimum proficiency in mathematics, by education level and sex (%)","554","New Zealand","2015","78.42","","Programme for International Student Assessment (OECD)","","C","PERCENT","LOWSEC","G","FEMALE"
"4","4.1","4.1.1","SE_MAT_PROF","Minimum proficiency in mathematics, by education level and sex (%)","554","New Zealand","2015","85.39","","Trends in International Mathematics and Science Study (IEA)","","C","PERCENT","GRAD23","G","FEMALE"
"4","4.1","4.1.1","SE_MAT_PROF","Minimum proficiency in mathematics, by education level and sex (%)","562","Niger","2014","7.68613","","Programme d'analyse des systèmes éducatifs de la Confemen","","C","PERCENT","PRIMAR","G","BOTHSEX"
"4","4.1","4.1.1","SE_MAT_PROF","Minimum proficiency in mathematics, by education level and sex (%)","562","Niger","2014","27.7825","","Programme d'analyse des systèmes éducatifs de la Confemen","","C","PERCENT","GRAD23","G","BOTHSEX"
"4","4.1","4.1.1","SE_MAT_PROF","Minimum proficiency in mathematics, by education level and sex (%)","562","Niger","2014","8.95","","Programme d'analyse des systèmes éducatifs de la Confemen","","C","PERCENT","PRIMAR","G","MALE"
